id_x,company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,capex_cr,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,return_on_capital_employed_pct,return_on_assets_pct,net_debt_cr,revenue_cagr_3yr,revenue_cagr_5yr,revenue_cagr_10yr,pat_cagr_3yr,pat_cagr_5yr,pat_cagr_10yr,eps_cagr_3yr,eps_cagr_5yr,eps_cagr_10yr,composite_quality_score,high_leverage_flag,icr_label,pe_ratio,pb_ratio,dividend_yield_pct,id_y,company_name
945,RECLTD,Mar 2024,29.7682934528695,100.7702506471368,20.39653929343908,6.4249,1.6005,0.0867,-59554.0,1831.0,54.0,2.6339,30.0,445568,-57723.0,9.308472416967362,2.5803050396668312,,9.44566056896241,11.452141372089365,,14.041449525824202,24.521270680603035,,,,,,,,31.49,4.59,2.18,RECLTD,REC Ltd
969,SBILIFE,Mar 2024,1.4349789374791648,0.18638058005273206,12.704588140595655,0.0,240.3333,0.3314,-2099.0,31221.0,19.0,1.4893,14.0,0,29122.0,14.508988462570432,0.4755221579767963,,16.16251560783233,24.321595630531156,,16.98335689614381,11.137218389537985,,,,,,,,69.98,9.48,1.62,SBILIFE,SBI Life Insurance Company Ltd
992,SHRIRAMFIN,Mar 2024,20.333626470264925,28.918874354182698,15.116350338120824,3.994,0.6767,0.1466,-31359.0,258.0,39.0,13.0178,23.0,195496,-31101.0,4.315116407506045,2.9802711607711085,,27.451744344047313,19.206205335791736,,51.45920935446819,30.35244830382684,,,,,,,,68.53,7.91,1.86,SHRIRAMFIN,Shriram Finance Ltd
1016,SUNPHARMA,Mar 2024,19.815658700538176,26.84289749881436,15.094161810671148,0.0514,58.3319,0.5685,11372.0,763.0,40.0,26.5279,34.0,3274,12135.0,20.739158363334877,11.2650630655976,,9.1811178824587,8.906066095856712,,48.583988555848556,21.654635315966033,,,,,,,,37.9,6.71,3.88,SUNPHARMA,Sun Pharmaceuticals Industries Ltd
1040,TATAMOTORS,Mar 2024,7.263066074788551,13.595385542828959,37.45613415294755,1.2631,6.5302,1.1851,45133.0,22782.0,94.0,11.0859,7.0,107262,67915.0,33.93225101467374,8.607629877598297,,16.480476913478537,11.0073787983753,,,,,,,,,,,67.07,0.93,3.65,TATAMOTORS,Tata Motors Ltd
1076,TCS,Mar 2024,19.136712150207767,26.690688396923118,50.944313673485176,0.0886,87.0951,1.6559,50429.0,6091.0,127.0,24.997,58.0,8021,44338.0,68.78489493452442,31.689259788825343,,9.546658437139888,9.940233894803097,,8.422995622758279,8.596278191513962,,,,,,,,78.69,6.08,1.62,TCS,Tata Consultancy Services Ltd
1112,TITAN,Mar 2024,6.843630099444054,10.359408033826638,37.2192057915469,1.6531,9.412,1.6193,1506.0,189.0,39.0,10.5539,28.0,15528,1695.0,23.377874082099435,11.081877833074461,,23.659672863103577,20.935461221328566,,13.843023173786385,16.782408599063526,,,,,,,,10.13,10.51,3.1,TITAN,Titan Company Ltd
1124,TORNTPHARM,Mar 2024,15.436241610738255,31.3944817300522,24.154025670945156,0.5866,9.9266,0.7396,3106.0,160.0,49.0,4.0568,57.0,4022,3266.0,32.3037323037323,11.416752843846949,,9.928239780547177,7.31931703095825,,33.81954614442411,12.681121873899004,,,,,,,,46.4,6.43,1.22,TORNTPHARM,Torrent Pharmaceuticals Ltd
1136,TRENT,Mar 2024,11.935353535353535,15.927272727272726,36.30776794493609,0.4309,8.0435,1.7279,841.0,508.0,42.0,11.3,8.0,1753,1349.0,50.85036935234496,20.622731080703712,,49.48525037772824,33.93602929650476,,272.4976245019792,76.37074131332167,,,,,,,,8.65,11.82,3.46,TRENT,Trent Ltd
1148,TVSMOTOR,Mar 2024,4.544641716694342,14.050325712096054,26.223466981132077,3.8334,2.9077,0.9315,-2254.0,1001.0,36.0,14.1333,23.0,26006,-1253.0,17.0966758157975,4.233295259851514,,20.75611595943485,17.870586734892147,,42.021174575734754,26.477851435808077,,,,,,,,46.1,5.62,3.07,TVSMOTOR,TVS Motor Company Ltd
1184,INDIGO,Mar 2024,11.852722628584697,76.29890862649484,892.568306010929,0.0186,22.6126,56.3863,9424.0,11759.0,212.0,1.9062,0.0,17,21183.0,5643.454935622318,668.3306055646481,,43.40643284900623,16.42205132955572,,,,,,,,,,,76.23,7.87,4.27,INDIGO,Interglobe Aviation Ltd
1004,SIEMENS,Sep 2024,12.221223021582734,13.956834532374101,17.698769290877124,0.0182,67.15,0.8791,1168.0,502.0,76.0,21.6296,16.0,279,1670.0,25.76745970836531,10.743507648523657,,18.998700727442852,11.193358902067896,,35.646062247422265,19.85339817550189,,,,,,,,33.32,9.25,3.69,SIEMENS,Siemens Ltd
